Id,MSZoning,LotFrontage,LotArea,Street,Utilities,LotConfig,Neighborhood,Condition1,Condition2,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterCond,Foundation,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,SaleType,SaleCondition,LandSlope_Gtl,LandSlope_Mod,LandSlope_Sev,LotShape_IR1,LotShape_IR2,LotShape_IR3,LotShape_Reg,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,MasVnrType_BrkCmn,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,ExterQual_Ex,ExterQual_Fa,ExterQual_Gd,ExterQual_TA,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,BsmtQual_Ex,BsmtQual_Fa,BsmtQual_Gd,BsmtQual_TA,BsmtCond_Fa,BsmtCond_Gd,BsmtCond_Po,BsmtCond_TA,BsmtExposure_Av,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,CentralAir_N,CentralAir_Y,KitchenQual_Ex,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA,GarageFinish_Fin,GarageFinish_RFn,GarageFinish_Unf,PavedDrive_N,PavedDrive_P,PavedDrive_Y
1471,2,26.0,5858,1,0,2,12,2,2,2,7,5,1999,1999,1,0,7,8,0.0,4,2,2,1051.0,1,354.0,1405.0,0,0,3,1337,0,1337,1.0,2,0,2,1,5,6,1,1,1999.0,2.0,511.0,3,4,203,68,0,8,4,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
1472,4,21.0,1680,1,0,4,2,2,2,4,6,5,1971,1971,1,0,6,6,504.0,4,1,4,156.0,5,327.0,483.0,0,4,3,483,504,987,0.0,1,1,2,1,5,6,0,5,1971.0,1.0,264.0,3,4,275,0,0,0,4,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
1473,4,21.0,1680,1,0,4,2,2,2,4,5,5,1971,1971,1,0,6,6,492.0,4,1,4,300.0,5,225.0,525.0,0,4,3,525,567,1092,0.0,1,1,3,1,6,6,0,5,1997.0,1.0,320.0,3,4,0,0,0,8,4,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
1474,3,24.0,2280,1,0,2,13,2,2,4,6,6,1975,1975,1,0,8,2,0.0,4,1,0,514.0,5,341.0,855.0,0,4,3,855,601,1456,0.0,2,1,3,1,6,6,1,1,1975.0,2.0,440.0,3,4,173,0,0,8,4,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
1475,3,24.0,2280,1,0,2,13,2,2,2,7,6,1975,1975,1,0,8,2,0.0,4,1,5,0.0,5,836.0,836.0,0,0,3,836,0,836,0.0,1,0,2,1,4,6,0,1,1975.0,1.0,308.0,3,4,0,30,0,8,4,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
1476,3,102.0,12858,1,0,4,16,2,2,4,9,5,2009,2010,1,0,10,12,162.0,4,2,5,0.0,5,1590.0,1590.0,0,0,3,1627,707,2334,0.0,2,1,3,1,10,6,1,1,2009.0,3.0,751.0,3,4,144,133,0,6,5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1
1477,3,94.0,12883,1,0,0,16,2,2,2,8,5,2009,2010,1,0,10,12,256.0,4,2,5,0.0,5,1544.0,1544.0,0,0,3,1544,0,1544,0.0,2,0,3,1,7,6,0,1,2009.0,3.0,868.0,3,4,0,35,0,6,5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1478,3,90.0,11520,1,0,4,16,4,2,2,9,5,2005,2005,3,0,10,12,615.0,4,2,2,110.0,5,1588.0,1698.0,0,0,3,1698,0,1698,0.0,2,0,3,1,7,6,1,1,2005.0,3.0,730.0,3,4,192,74,0,8,4,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1
1479,3,79.0,14122,1,0,4,16,2,2,2,8,5,2005,2006,3,0,5,5,240.0,4,2,2,28.0,5,1794.0,1822.0,0,0,3,1822,0,1822,0.0,2,0,3,1,8,6,1,1,2005.0,3.0,678.0,3,4,0,119,0,8,4,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1
1480,3,110.0,14300,1,0,4,16,2,2,2,9,5,2003,2004,3,0,10,12,1095.0,4,2,2,1373.0,5,1473.0,2846.0,0,0,3,2696,0,2696,1.0,2,1,3,1,10,6,2,1,2003.0,3.0,958.0,3,4,220,150,0,8,4,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
1481,3,105.0,13650,1,0,0,16,2,2,4,8,5,2002,2002,1,0,10,12,232.0,4,2,2,578.0,5,1093.0,1671.0,0,0,3,1687,563,2250,1.0,2,1,3,1,7,6,1,1,2002.0,3.0,756.0,3,4,238,130,0,8,4,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
1482,3,41.0,7132,1,0,4,16,2,2,2,8,5,2006,2006,1,0,10,12,178.0,4,2,2,24.0,5,1346.0,1370.0,0,0,3,1370,0,1370,0.0,2,0,2,1,6,6,1,1,2006.0,2.0,484.0,3,4,120,49,0,8,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
1483,3,100.0,18494,1,0,0,8,2,2,2,6,5,2005,2005,1,0,10,12,0.0,4,2,5,0.0,5,1324.0,1324.0,0,0,3,1324,0,1324,0.0,2,0,3,1,6,6,0,1,2005.0,2.0,430.0,3,4,36,23,0,8,4,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
1484,3,43.0,3203,1,0,4,0,2,2,2,7,5,2006,2006,1,0,10,12,14.0,4,2,2,16.0,5,1129.0,1145.0,0,0,3,1145,0,1145,0.0,2,0,2,1,6,6,0,1,2006.0,2.0,437.0,3,4,100,116,0,8,4,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
1485,3,67.0,13300,1,0,4,8,2,2,6,7,5,2004,2004,1,0,10,12,0.0,4,2,2,326.0,5,58.0,384.0,0,0,3,744,630,1374,1.0,2,1,3,1,7,6,1,3,2004.0,2.0,400.0,3,4,100,0,0,8,4,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
1486,3,63.0,8577,1,0,4,8,2,2,4,7,5,2004,2004,1,0,10,12,0.0,4,2,5,0.0,5,847.0,847.0,0,0,3,847,886,1733,0.0,2,1,3,1,7,6,1,3,2004.0,2.0,433.0,3,4,144,48,0,8,4,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
1487,3,60.0,17433,1,0,1,15,2,2,4,8,5,1998,1998,3,0,10,12,114.0,4,2,5,0.0,5,1629.0,1629.0,0,0,3,1645,830,2475,0.0,2,1,4,1,7,6,1,1,1998.0,3.0,962.0,3,4,23,172,0,8,4,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
1488,3,73.0,8987,1,0,4,21,2,2,2,8,5,2005,2006,1,0,10,12,226.0,4,2,5,0.0,5,1595.0,1595.0,0,0,3,1595,0,1595,0.0,2,0,2,1,6,6,1,1,2005.0,3.0,880.0,3,4,144,0,0,8,4,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1489,1,92.0,9215,1,0,4,21,2,2,2,7,5,2009,2010,3,0,10,12,0.0,4,2,5,0.0,5,1218.0,1218.0,0,0,3,1218,0,1218,0.0,2,0,2,1,4,6,0,1,2009.0,2.0,676.0,3,4,0,136,0,6,5,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1490,1,84.0,10440,1,0,0,21,2,2,2,6,5,2005,2005,1,0,10,12,0.0,4,2,2,1414.0,5,54.0,1468.0,0,0,3,1468,0,1468,1.0,2,0,2,1,6,6,1,1,2005.0,2.0,528.0,3,4,0,102,0,8,4,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
1491,3,70.0,11920,1,0,4,20,2,2,4,7,5,2004,2004,1,0,10,12,122.0,4,2,5,0.0,5,831.0,831.0,0,0,3,831,828,1659,0.0,2,1,3,1,8,6,0,1,2004.0,2.0,484.0,3,4,144,68,0,8,4,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
1492,2,70.0,9800,1,0,0,20,1,2,2,5,5,1920,1950,1,0,11,13,0.0,1,0,5,0.0,5,816.0,816.0,0,4,0,1012,0,1012,0.0,1,0,2,1,5,6,0,5,1920.0,1.0,429.0,3,4,121,0,80,8,4,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1
1493,3,39.0,15410,1,0,1,19,7,2,2,6,6,1974,2002,3,0,8,9,250.0,2,1,1,126.0,2,223.0,1208.0,0,0,3,1494,0,1494,1.0,2,0,3,1,7,6,2,1,1974.0,2.0,461.0,3,4,296,0,186,8,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
1494,3,85.0,13143,1,0,4,15,2,2,4,8,5,1993,1993,1,0,6,7,504.0,4,2,3,250.0,2,0.0,1231.0,0,0,3,1251,1098,2349,1.0,2,1,4,1,9,6,1,1,1993.0,3.0,762.0,3,4,32,130,0,8,4,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1495,3,88.0,11134,1,0,4,15,2,2,4,8,5,1992,1993,1,0,6,6,180.0,4,2,2,1129.0,5,261.0,1390.0,0,0,3,1402,823,2225,1.0,2,1,4,1,7,6,1,1,1992.0,3.0,713.0,3,4,198,30,0,8,4,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1496,1,25.0,4835,1,0,1,21,2,2,2,7,5,2004,2005,1,0,7,8,0.0,4,2,2,1298.0,5,190.0,1488.0,0,0,3,1488,0,1488,1.0,2,0,2,1,6,6,1,1,2004.0,2.0,506.0,3,4,168,50,0,8,4,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
1497,1,39.0,3515,1,0,4,21,2,2,4,7,5,2004,2004,1,0,10,12,0.0,4,2,5,0.0,5,840.0,840.0,0,0,3,840,840,1680,0.0,2,1,2,1,3,6,0,1,2004.0,2.0,588.0,3,4,0,111,0,8,4,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1498,1,30.0,3215,1,0,4,21,2,2,4,7,5,2004,2004,1,0,7,8,120.0,4,2,2,280.0,5,320.0,600.0,0,0,3,600,600,1200,0.0,2,1,2,1,4,6,0,5,2004.0,2.0,480.0,3,4,0,172,0,3,4,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
1499,1,24.0,2544,1,0,4,21,2,2,4,7,5,2004,2005,1,0,7,8,0.0,4,2,2,368.0,0,190.0,600.0,0,0,3,600,600,1200,1.0,2,1,2,1,4,6,0,5,2004.0,2.0,480.0,3,4,0,172,0,8,4,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1500,1,24.0,2544,1,0,4,21,2,2,4,6,5,2005,2005,1,0,10,12,216.0,4,2,2,376.0,5,224.0,600.0,0,0,3,600,636,1236,1.0,2,1,2,1,4,6,0,5,2005.0,2.0,480.0,3,4,0,166,0,8,4,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1501,1,67.0,2980,1,0,0,21,2,2,4,6,5,2000,2000,1,0,7,8,1159.0,4,2,2,466.0,5,290.0,756.0,0,0,3,756,756,1512,1.0,2,1,2,1,5,6,0,5,2000.0,2.0,440.0,3,4,0,32,0,8,4,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
1502,1,67.0,2403,1,0,2,21,2,2,4,7,5,2003,2003,1,0,10,12,0.0,4,2,2,244.0,5,286.0,530.0,0,0,3,530,550,1080,0.0,2,1,2,1,4,6,0,1,2003.0,2.0,496.0,3,4,0,50,0,8,4,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1503,1,57.0,12853,1,0,4,21,2,2,2,8,5,2010,2010,1,0,5,5,0.0,4,2,2,1032.0,5,610.0,1642.0,0,0,3,1418,0,1418,1.0,1,1,1,1,6,6,1,1,2010.0,3.0,852.0,3,4,160,192,0,6,5,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1504,1,68.0,7379,1,0,4,21,2,2,4,8,5,2000,2000,1,0,10,12,0.0,4,2,2,484.0,5,491.0,975.0,0,0,3,975,873,1848,1.0,2,1,3,1,7,6,1,1,2000.0,2.0,592.0,3,4,280,184,0,8,4,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1505,1,80.0,8000,1,0,4,21,2,2,2,7,5,2002,2002,1,0,10,12,0.0,4,2,2,833.0,5,659.0,1492.0,0,0,3,1492,0,1492,1.0,2,0,3,1,6,6,1,1,2002.0,2.0,596.0,3,4,277,137,0,8,4,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1506,3,67.0,10456,1,0,4,14,2,2,2,6,6,1967,1967,3,0,6,6,120.0,4,1,2,506.0,5,1323.0,1829.0,0,2,3,1829,0,1829,1.0,2,0,4,1,8,6,0,1,1967.0,2.0,535.0,3,4,0,76,0,8,4,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
1507,3,80.0,10791,1,0,4,14,2,2,4,6,5,1993,1993,1,0,7,8,0.0,4,2,2,1137.0,5,143.0,1280.0,0,0,3,1280,1215,2495,1.0,2,1,4,1,9,6,1,1,1993.0,2.0,660.0,3,4,224,32,0,8,4,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
1508,3,67.0,18837,1,0,4,14,2,2,0,6,5,1978,1978,1,0,7,8,0.0,4,2,0,687.0,3,491.0,1224.0,0,4,3,1287,604,1891,0.0,3,0,3,1,7,6,1,1,1978.0,2.0,678.0,3,4,0,69,0,8,4,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
1509,3,80.0,9600,1,0,4,14,2,2,4,6,6,1971,1971,1,0,7,8,0.0,4,1,0,329.0,5,386.0,715.0,0,4,3,930,715,1645,0.0,1,2,4,1,7,6,0,1,1971.0,2.0,441.0,3,4,0,78,0,8,4,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
1510,3,80.0,9600,1,0,4,12,2,2,2,5,5,1966,1966,3,0,10,12,172.0,4,1,4,698.0,5,534.0,1232.0,0,4,3,1232,0,1232,1.0,1,1,3,1,6,6,0,1,1966.0,2.0,490.0,3,4,0,224,0,8,4,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
1511,3,90.0,9900,1,0,0,12,2,2,2,5,5,1966,1966,3,0,6,6,0.0,4,2,1,1059.0,5,150.0,1209.0,0,2,3,1209,0,1209,1.0,1,0,3,1,6,6,0,1,1966.0,2.0,504.0,3,4,0,0,120,3,4,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
1512,3,88.0,9680,1,0,4,12,2,2,2,5,6,1967,1967,1,0,11,9,268.0,4,1,1,1010.0,5,500.0,1510.0,0,0,3,1510,0,1510,1.0,2,0,3,1,6,6,0,1,1967.0,2.0,517.0,3,4,0,40,0,8,4,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1513,3,67.0,10600,1,0,4,12,2,2,6,6,5,1964,1964,1,0,6,6,0.0,4,1,5,0.0,5,533.0,533.0,0,4,3,1131,644,1775,0.0,2,0,3,1,8,6,0,1,1964.0,2.0,480.0,3,4,0,172,0,0,3,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
1514,3,98.0,13260,1,0,4,12,2,2,2,5,6,1962,2001,3,0,6,6,144.0,4,1,1,1500.0,5,228.0,1728.0,0,4,3,1728,0,1728,2.0,2,0,6,2,10,6,0,1,1979.0,0.0,0.0,3,4,0,0,0,7,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
